Question,Option A,Option B,Option C,Correct Answer
What is the sum of the interior angles of a triangle?,180°,360°,90°,A
What is the area of a rectangle with length 5 and width 3?,15,20,8,A
What is the perimeter of a square with side length 4?,16,12,20,A
How many sides does a pentagon have?,5,6,7,A
What is the formula for the area of a circle?,πr²,2πr,r²/2,A
What is the length of the hypotenuse in a right triangle with legs 3 and 4?,5,6,7,A
What is the circumference of a circle with a radius of 2?,4π,2π,π,A
How many degrees are in a straight angle?,90°,180°,360°,B
What is the volume of a cube with side length 3?,9,27,18,B
What is the area of a triangle with a base of 4 and height of 3?,6,12,8,A
What is the name of a 3-dimensional shape with 6 rectangular faces?,Sphere,Cube,Cylinder,B
What is the sum of the interior angles of a quadrilateral?,360°,180°,90°,A
What is the length of one side of a regular hexagon with a perimeter of 30?,5,6,7,A
What is the relationship between the angles of a triangle?,They must equal 180°,They must equal 360°,They must equal 90°,A
What type of triangle has all sides of different lengths?,Isosceles,Equilateral,Scalene,C
What is the area of a parallelogram with a base of 5 and height of 3?,15,10,20,A
What is the diameter of a circle with a radius of 7?,14,7,21,A
What is the formula for the volume of a cylinder?,πr²h,2πr²h,πd²h,A
What is the measure of each angle in an equilateral triangle?,60°,90°,120°,A
What is the surface area of a sphere with a radius of 3?,36π,12π,18π,A
How many faces does a triangular prism have?,5,6,4,A
What is the area of a trapezoid with bases 4 and 6 and height 5?,25,30,20,A
What do you call a line that touches a circle at exactly one point?,Chord,Diameter,Tangent,C
What is the sum of the exterior angles of any polygon?,360°,180°,90°,A
What is the volume of a sphere with a radius of 3?,36π/3,36π/4,36π/6,B
What is the area of a circle with a radius of 5?,25π,20π,30π,A
How many degrees are in a full rotation?,180°,360°,270°,B
What type of angle measures less than 90 degrees?,Acute,Obtuse,Right,A
What is the area of a square with a side length of 2?,4,8,2,A
What do you call a polygon with eight sides?,Hexagon,Heptagon,Octagon,C
What is the formula for the perimeter of a rectangle?,2(l + w),l × w,2lw,A
What is the length of a diagonal of a rectangle with length 6 and width 8?,10,14,8,A
What is the area of a rectangle with length 10 and width 2?,20,15,25,A
What is the height of a triangle with a base of 6 and an area of 12?,4,3,2,A
What is the measure of an obtuse angle?,Greater than 90°,Less than 90°,Equal to 90°,A
"What is the volume of a rectangular prism with dimensions 2, 3, and 4?",24,18,12,A
How many edges does a cube have?,8,12,6,B
What is the area of a rhombus with diagonals of 10 and 8?,40,60,20,A
What is the perimeter of a regular octagon with a side length of 3?,24,18,30,A
What is the formula for the area of a triangle?,1/2bh,bh,bh/2,A
What is the measure of each angle in a right triangle?,"90°, 45°, 45°","90°, 60°, 30°","90°, 30°, 60°",A
What is the length of the radius of a circle with a diameter of 10?,5,10,15,A
What do you call a triangle with one angle measuring more than 90°?,Acute triangle,Right triangle,Obtuse triangle,C
What is the area of a rectangle with a length of 8 and a width of 3?,24,32,12,A
How many lines of symmetry does a square have?,4,2,8,A
What is the surface area of a cube with a side length of 4?,96,64,48,A
What is the area of a circle with a diameter of 4?,8π,4π,16π,B
How many degrees are in a complete circle?,360°,180°,90°,A
What is the volume of a cylinder with radius 2 and height 5?,20π,10π,40π,A
What is the measure of each angle in a square?,90°,60°,120°,A
"What is the area of a triangle with sides 3, 4, and 5?",6,12,8,A
How many degrees are in a right angle?,90°,60°,45°,A
What do you call a three-dimensional shape?,Polygon,Solid,Plane figure,B
What is the length of a side of an equilateral triangle with a perimeter of 12?,3,4,5,A
What is the volume of a cone with a radius of 3 and height of 4?,12π,9π,6π,A
"What is the area of a trapezoid with bases 5 and 7, and height 4?",24,20,30,A
What is the formula for the circumference of a circle?,2πr,πr²,πd,A
What is the area of a square with side length 5?,25,20,15,A
How many sides does a hexagon have?,6,8,10,A
"What is the surface area of a rectangular prism with dimensions 2, 3, and 4?",24,28,32,A
What is the area of a circle with a radius of 10?,100π,50π,25π,A
What is the length of the diagonal of a square with side length 4?,4√2,8,2√2,A
What is the height of a rectangle with an area of 12 and a width of 3?,4,3,5,A
What is the volume of a cube with side length 5?,25,125,20,B
What type of triangle has two sides of equal length?,Isosceles,Scalene,Equilateral,A
What is the area of a triangle with a base of 10 and height of 5?,25,50,30,A
What is the measure of an angle that is complementary to a 30° angle?,60°,90°,120°,A
"What is the perimeter of a triangle with sides of 3, 4, and 5?",12,10,14,A
What do you call a polygon with six sides?,Hexagon,Pentagon,Heptagon,A
What is the formula for the area of a trapezoid?,1/2(b₁ + b₂)h,b₁h + b₂h,(b₁ + b₂)h/2,A
How many angles are in a triangle?,3,4,2,A
What is the measure of an angle that is supplementary to a 70° angle?,110°,90°,70°,A
What is the volume of a cylinder with radius 3 and height 7?,21π,63π,9π,B
What is the surface area of a sphere with a radius of 1?,4π,2π,π,A
"What is the area of a triangle with vertices at (0,0), (4,0), and (0,3)?",6,12,9,A
What is the length of a chord that is 2 units from the center of a circle with a radius of 5?,4,6,8,A
What is the measure of each angle in a hexagon?,120°,90°,150°,A
What is the area of a parallelogram with base 10 and height 2?,20,30,15,A
How many vertices does a tetrahedron have?,4,6,8,A
What is the length of a diagonal of a rectangle with length 8 and width 6?,10,14,12,A
What is the perimeter of a square with side length 6?,24,30,18,A
What is the volume of a cone with a radius of 4 and height of 9?,48π,36π,12π,A
"What is the area of a triangle with vertices at (0,0), (0,4), and (3,0)?",6,12,10,A
How many lines of symmetry does a rectangle have?,2,4,1,A
"What is the height of a trapezoid with bases of 6 and 8, and area of 28?",4,5,7,A
What is the measure of a reflex angle?,Greater than 180°,Less than 90°,Equal to 90°,A
What is the circumference of a circle with a diameter of 12?,12π,6π,24π,A
What is the area of a rhombus with diagonals of 10 and 24?,120,240,80,A
What is the length of the radius of a circle with a circumference of 20π?,10,5,20,A
What is the area of a sector of a circle with a radius of 6 and a central angle of 60°?,12π,18π,6π,A
What is the measure of each angle in a regular octagon?,135°,120°,90°,A
How many degrees are in a semicircle?,180°,90°,360°,A
"What is the volume of a rectangular prism with dimensions 3, 5, and 2?",30,20,15,A
What is the height of a triangle with a base of 12 and an area of 36?,6,3,12,A
What is the area of a circle with a diameter of 10?,25π,100π,50π,A
"What is the perimeter of a triangle with sides of lengths 5, 12, and 13?",30,28,25,A
What do you call a line segment that connects two points on a circle?,Radius,Chord,Diameter,B
What is the surface area of a cylinder with a radius of 3 and height of 5?,48π,30π,36π,A
How many sides does a dodecagon have?,10,12,14,B
What is the area of a rectangle with a length of 9 and a width of 4?,36,32,28,A
What is the length of the hypotenuse of a right triangle with legs 5 and 12?,13,10,15,A
