Question,Option A,Option B,Option C,Option D,Correct Answer
What is 5 + 8?,12,13,14,15,B
What is 12 - 4?,7,8,9,10,B
What is 15 x 3?,45,50,55,60,A
What is 30 / 6?,4,5,6,7,B
What is 25 + 17?,41,42,43,44,B
What is 18 - 9?,7,8,9,10,C
What is 9 x 6?,50,52,54,56,C
What is 49 / 7?,6,7,8,9,B
What is 100 + 25?,125,130,135,140,A
What is 72 - 30?,40,41,42,43,C
What is 6 x 8?,46,48,50,52,B
What is 56 / 8?,6,7,8,9,B
What is 10 + 13?,22,23,24,25,B
What is 81 - 19?,60,61,62,63,C
What is 4 x 12?,46,48,50,52,B
What is 36 / 9?,3,4,5,6,B
What is 27 + 34?,60,61,62,63,B
What is 50 - 17?,31,32,33,34,C
What is 8 x 7?,54,55,56,57,C
What is 72 / 9?,7,8,9,10,B
What is 25 + 19?,43,44,45,46,B
What is 40 - 16?,24,25,26,27,A
What is 13 x 3?,39,40,41,42,A
What is 36 / 6?,5,6,7,8,B
What is 12 + 19?,30,31,32,33,B
What is 64 - 28?,35,36,37,38,B
What is 7 x 8?,54,56,58,60,B
What is 72 / 8?,8,9,10,11,B
What is 14 + 18?,31,32,33,34,B
What is 45 - 21?,23,24,25,26,B
What is 6 x 5?,28,30,32,35,B
What is 56 / 7?,7,8,9,10,B
What is 25 + 9?,33,34,35,36,B
What is 10 x 4?,40,42,44,46,A
What is 90 / 15?,5,6,7,8,B
What is 78 - 29?,48,49,50,51,B
What is 24 + 19?,42,43,44,45,B
What is 8 x 9?,72,73,74,75,A
What is 54 / 6?,8,9,10,11,B
What is 33 - 15?,17,18,19,20,B
What is 7 x 6?,42,43,44,45,A
What is 20 + 16?,35,36,37,38,B
What is 96 / 12?,7,8,9,10,B
What is 64 + 29?,92,93,94,95,B
What is 9 x 7?,61,62,63,64,C
What is 18 / 3?,5,6,7,8,B
What is 30 + 45?,75,76,77,78,A
What is 120 / 15?,7,8,9,10,B
What is 25 x 5?,120,125,130,135,B
What is 64 - 16?,45,46,47,48,D
What is 11 x 8?,86,87,88,89,C
What is 50 / 10?,4,5,6,7,B
What is 35 + 28?,61,62,63,64,C
What is 72 / 4?,17,18,19,20,B
What is 9 x 12?,108,109,110,111,A
What is 48 - 14?,33,34,35,36,B
What is 6 x 9?,53,54,55,56,B
What is 18 + 21?,38,39,40,41,B
What is 100 / 20?,4,5,6,7,B
What is 77 - 36?,40,41,42,43,B
What is 17 x 2?,33,34,35,36,B
What is 62 / 31?,1,2,3,4,B
What is 45 + 38?,82,83,84,85,B
What is 28 / 4?,6,7,8,9,B
What is 81 + 19?,99,100,101,102,B
What is 16 x 3?,47,48,49,50,B
What is 72 / 12?,5,6,7,8,B
What is 44 + 22?,65,66,67,68,B
What is 32 - 9?,22,23,24,25,B
What is 50 / 2?,24,25,26,27,B
What is 27 x 2?,54,55,56,57,A
What is 49 + 21?,68,69,70,71,C
What is 80 / 8?,9,10,11,12,B
What is 54 + 28?,80,81,82,83,C
What is 63 / 9?,6,7,8,9,B
What is 17 x 6?,102,103,104,105,A
What is 75 + 25?,99,100,101,102,B
What is 18 x 5?,88,89,90,91,C
What is 48 / 6?,7,8,9,10,B
What is 70 + 15?,84,85,86,87,B
What is 110 / 11?,9,10,11,12,B
What is 90 - 24?,65,66,67,68,B
What is 15 x 2?,30,31,32,33,A
What is 8 x 8?,61,62,63,64,D
What is 56 + 24?,79,80,81,82,B
What is 12 x 4?,47,48,49,50,B
What is 10 / 2?,4,5,6,7,B
What is 45 + 37?,81,82,83,84,A
What is 24 x 5?,118,119,120,121,C
What is 100 / 4?,24,25,26,27,B
What is 18 x 4?,70,71,72,73,C
What is 44 / 8?,5,6,7,8,B
What is 72 + 11?,82,83,84,85,B
What is 13 x 7?,90,91,92,93,B
What is 50 / 5?,9,10,11,12,B
What is 27 + 18?,44,45,46,47,B
What is 72 / 8?,8,9,10,11,B
What is 15 x 5?,70,72,75,80,C
What is 90 - 56?,32,33,34,35,C
What is 36 / 4?,8,9,10,11,A
