Question,Option A,Option B,Option C,Option D,Correct Answer
1. What is sin(30º)?,1/2,√3/2,1,0,A
2. What is cos(60º)?,1/2,√3/2,1,0,A
3. What is tan(45º)?,1,0,√2,2,A
4. What is sin(90º)?,1,0,1/2,√3/2,A
5. What is cos(30º)?,√3/2,1/2,1,0,A
6. What is tan(60º)?,√3,1,1/√3,0,A
7. What is sin(45º)?,√2/2,1/2,√3/2,1,A
8. What is cos(45º)?,√2/2,1/2,√3/2,1,A
9. What is tan(30º)?,1/√3,1/2,1,√3,A
10. What is sin(60º)?,√3/2,1/2,1,0,A
11. What is cos(90º)?,0,1,1/2,√3/2,A
12. What is tan(90º)?,Undefined,1,0,√,A
13. What is sin(0º)?,0,1,1/2,√3/2,A
14. What is cos(0º)?,1,0,1/2,√3/2,A
15. What is tan(0º)?,0,1,Undefined,√,A
16. What is sin(180º)?,0,1,1/2,√3/2,A
17. What is cos(180º)?,-1,1,0,1/2,A
18. What is tan(180º)?,0,1,Undefined,√,A
19. What is sin(270º)?,-1,1,0,1/2,A
20. What is cos(270º)?₀,-1,1,1/2,A
21. What is tan(270º)?,Undefined,1,0,-1,A
22. What is the period of sin(x)?,2pi,pi,pi/2,pi/4,A
23. What is the period of cos(x)?,2pi,pi,pi/2,pi/4,A
24. What is the period of tan(x)?,pi,2pi,pi/2,3pi,A
25. What is sin(2x) in terms of sin(x) and cos(x)?,2sin(x)cos(x),sin(x) + cos(x),sin(x)cos(x),cos(2x),A
26. What is cos(2x) in terms of sin(x) and cos(x)?,cos_(x) - sin_(x),2sin(x)cos(x),sin_(x) - cos_(x),1 - 2sin_(x),A
27. What is the identity for sin_(x) + cos_(x)?,1,0,sin(x),cos(x),A
28. What is tan(x) in terms of sin(x) and cos(x)?,sin(x)/cos(x),cos(x)/sin(x),sin(x) + cos(x),cos(x) + sin(x),A
29. What is the value of tan(60º)?,√3,1,0,1/√3,A
30. What is the value of cot(45º)?,1,0,√2,2,A
31. What is the value of sec(60º)?,2,1/2,1/√3,√3,A
32. What is the value of csc(30º)?,2,1,1/2,√3,A
33. What is the value of sec(30º)?,2/√3,2,1,1/2,A
34. What is tan(2x) in terms of tan(x)?,2tan(x)/(1 - tan_(x)),(1 - tan_(x))/2tan(x),1 - tan(x),1/tan(x),A
35. What is the formula for sin(A + B)?,sin(A)cos(B) + cos(A)sin(B),sin(A)cos(B) - cos(A)sin(B),cos(A)cos(B),cos(A)sin(B),A
36. What is the formula for cos(A + B)?,cos(A)cos(B) - sin(A)sin(B),cos(A)cos(B) + sin(A)sin(B),sin(A)cos(B) + cos(A)sin(B),cos(A)sin(B),A
37. What is the formula for tan(A + B)?,(tan(A) + tan(B))/(1 - tan(A)tan(B)),(tan(A) - tan(B))/(1 + tan(A)tan(B)),tan(A)tan(B),tan(A) + tan(B),A
38. What is sin(2A)?,2sin(A)cos(A),sin(A) + cos(A),2sin_(A),cos(2A),A
39. What is cos(2A)?,cos_(A) - sin_(A),1 - 2sin_(A),cos_(A) + sin_(A),2sin(A)cos(A),A
40. What is tan(2A)?,2tan(A)/(1 - tan_(A)),1 + tan_(A),(1 - tan_(A))/2tan(A),1 - tan(A),A
41. What is cot(x) in terms of sin(x) and cos(x)?,cos(x)/sin(x),sin(x)/cos(x),sin(x) + cos(x),cos(x) + sin(x),A
42. What is the secant of 90º?,Undefined,1,0,√3,A
43. What is the cosecant of 0º?,Undefined,1,0,√3,A
44. What is the value of tan(0º)?,0,1,Undefined,√,A
45. What is the value of sin(0º)?,0,1,1/2,√3/2,A
46. What is the value of cos(180º)?,-1,1,0,1/2,A
47. What is the value of cos(270º)?₀,-1,1,√3/2,A
48. What is the value of sin(90º)?,1,0,1/2,√3/2,A
49. What is the value of sin(180º)?,0,1,1/2,√3/2,A
50. What is the value of tan(45º)?,1,0,1/√3,√3,A
51. What is the value of sec(45º)?,√2,1/√2,2,1,A
52. What is the value of cos(45º)?,√2/2,1/2,√3/2,1,A
53. What is the value of tan(30º)?,1/√3,1/2,√3,0,A
54. What is the value of cot(30º)?,√3,1/√3,0,1,A
55. What is the value of sec(60º)?,2,1/2,√3,1/√3,A
56. What is the value of csc(60º)?,2/√3,1,√3,2,A
57. What is the value of cot(45º)?,1,0,√3,2,A
58. What is the value of sin(120º)?,√3/2,1/2,-0.5,-√3/2,A
59. What is cos(120º)?,-0.5,√3/2,-√3/2,1/2,A
60. What is tan(120º)?,-√3,1,0,√3,A
61. What is sec(120º)?,-2/√3,1/2,√3,2,A
62. What is csc(120º)?,2/√3,2,√3,1/2,A
63. What is cos(150º)?,-√3/2,1/2,-0.5,√3/2,A
64. What is sin(150º)?,1/2,√3/2,-0.5,-√3/2,A
65. What is tan(150º)?,-1/√3,1/√3,-√3/2,√3,A
66. What is sec(150º)?,-2/√3,√3,-√3/2,2,A
67. What is csc(150º)?,2/√3,1,√3,2,A
68. What is sin(270º)?,-1,0,1/2,√3/2,A
69. What is cos(270º)?₀,-1,1,√3/2,A
70. What is tan(270º)?,Undefined,1,0,-1,A
71. What is the period of tan(x)?,pi,2pi,pi/2,3pi,A
72. What is sin(_ + _)?,sin(_)cos(_) + cos(_)sin(_),sin(_)cos(_) - cos(_)sin(_),cos(_)cos(_),cos(_)sin(_),A
73. What is cos(_ + _)?,cos(_)cos(_) - sin(_)sin(_),cos(_)cos(_) + sin(_)sin(_),sin(_)cos(_) + cos(_)sin(_),sin(_)cos(_),A
74. What is tan(_ + _)?,(tan(_) + tan(_))/(1 - tan(_)tan(_)),(tan(_) - tan(_))/(1 + tan(_)tan(_)),tan(_)tan(_),tan(_) + tan(_),A
75. What is sin(2_)?,2sin(_)cos(_),sin(_) + cos(_),2sin_(_),cos(2_),A
76. What is cos(2_)?,cos_(_) - sin_(_),1 - 2sin_(_),cos_(_) + sin_(_),2sin(_)cos(_),A
77. What is tan(2_)?,2tan(_)/(1 - tan_(_)),1 + tan_(_),(1 - tan_(_))/2tan(_),1 - tan(_),A
78. What is cot(_) in terms of sin(_) and cos(_)?,cos(_)/sin(_),sin(_)/cos(_),sin(_) + cos(_),cos(_) + sin(_),A
79. What is sec(90º)?,Undefined,1,0,√3,A
80. What is csc(0º)?,Undefined,1,0,√3,A
81. What is the value of tan(0√)?,0,1,Undefined,√,A
82. What is sin(0º)?,0,1,1/2,√3/2,A
83. What is cos(180º)?,-1,1,0,1/2,A
84. What is cos(270º)?₀,-1,1,√3/2,A
85. What is sin(90º)?,1,0,1/2,√3/2,A
86. What is sin(180º)?,0,1,1/2,√3/2,A
87. What is tan(45º)?,1,0,1/√3,√3,A
88. What is sec(45º)?,√2,1/√2,2,1,A
89. What is cos(45º)?,√2/2,1/2,√3/2,1,A
90. What is tan(30º)?,1/√3,1/2,√3,0,A
91. What is cot(30º)?,√3,1/√3,0,1,A
92. What is sec(60º)?,2,1/2,√3,1/√3,A
93. What is csc(60º)?,2/√3,1,√3,2,A
94. What is cot(45º)?,1,0,√3,2,A
95. What is sin(120º)?,√3/2,1/2,-0.5,-√3/2,A
96. What is cos(120º)?,-0.5,√3/2,-√3/2,1/2,A
97. What is tan(120º)?,-√3,1,0,√3,A
98. What is sec(120º)?,-2/√3,1/2,√3,2,A
99. What is csc(120º)?,2/√3,2,√3,1/2,A
