Question,Option A,Option B,Option C,Correct Answer
What is x + 5 = 10?,5,10,15,A
Solve for x: 2x - 3 = 7,3,5,7,B
What is 3(x - 4) = 9?,1,5,7,B
Solve for x: x/2 + 3 = 6,3,6,12,C
"If 4x = 20, what is x?",4,5,6,B
What is 5x - 2 = 3?,1,2,3,A
Solve for x: 3x + 4 = 16,4,2,5,A
What is the value of x in x^2 = 16?,2,4,6,B
"If 2x + 3 = 11, what is x?",4,3,5,A
Solve for x: 7 - 2x = 1,2,3,5,B
What is x/3 - 2 = 1?,5,6,7,B
"If 5x + 10 = 35, what is x?",5,6,7,C
Solve for x: x - 4 = 10,5,10,14,C
What is 2x + 4 = 12?,2,3,4,A
Solve for x: 9x = 81,5,6,9,C
What is 4(x + 1) = 20?,3,5,6,B
"If 3x - 5 = 7, what is x?",4,5,6,A
What is the solution of x^2 + 1 = 0?,-1,1,0,A
Solve for x: 2x + 2 = 8,3,4,5,B
"If x + 2 = 5, what is x?",2,3,4,B
What is 10 - 2x = 0?,5,6,7,A
Solve for x: 6x = 24,3,4,5,B
"If 7x + 14 = 28, what is x?",0,1,2,C
What is the value of x in 5x + 5 = 0?,-1,0,1,A
Solve for x: 4x - 4 = 8,2,3,4,C
"If 3x + 9 = 0, what is x?",-3,0,3,A
What is 8 - 3x = 2?,2,4,5,A
Solve for x: x/4 = 3,10,12,15,A
"If 10x = 50, what is x?",4,5,6,B
What is 2(x - 1) = 4?,1,2,3,C
Solve for x: 5x + 2 = 12,1,3,4,C
"If 6 - 2x = 0, what is x?",1,2,3,B
What is 4x + 1 = 17?,3,4,5,A
Solve for x: 7 - 3x = 1,1,2,3,C
"If 2x + 6 = 10, what is x?",1,2,3,B
What is 9x - 9 = 0?,1,2,3,A
Solve for x: x + 3 = 7,3,4,5,B
"If 8x = 64, what is x?",6,7,8,C
What is 5 - x = 3?,2,3,4,B
Solve for x: 4x + 8 = 32,4,5,6,A
"If 2x - 4 = 10, what is x?",6,7,8,A
What is 7x = 35?,4,5,6,B
Solve for x: 3x - 9 = 0,1,2,3,C
"If x/2 + 4 = 10, what is x?",8,10,12,A
What is x^2 - 9 = 0?,3,2,1,A
Solve for x: 5x + 5 = 20,2,3,4,A
"If 6 - x = 2, what is x?",2,3,4,A
What is 3(x + 2) = 12?,2,3,4,B
Solve for x: 8 - 4x = 0,2,3,4,A
"If 5x + 15 = 0, what is x?",-3,-4,-5,A
What is 2x - 2 = 0?,0,1,2,B
Solve for x: 4(x - 1) = 8,0,1,2,C
"If x + 5 = 2, what is x?",-3,0,1,A
What is 3(x - 2) = 3?,2,3,4,B
Solve for x: 12 - 3x = 3,3,4,5,B
"If 4x + 16 = 32, what is x?",2,3,4,A
What is 7 - 2x = 3?,2,3,4,C
Solve for x: x/5 = 4,10,15,20,A
"If 9x = 45, what is x?",3,4,5,A
What is x + 6 = 10?,5,6,7,A
Solve for x: 3x + 12 = 21,3,4,5,A
"If 10 - 2x = 0, what is x?",2,3,4,A
What is 4x = 28?,5,6,7,C
Solve for x: 2x + 8 = 20,4,6,7,B
"If 3x + 15 = 30, what is x?",3,5,6,B
What is 6x + 2 = 14?,2,3,4,C
Solve for x: 12 - 4x = 0,2,3,4,A
"If 5x - 10 = 0, what is x?",2,3,4,B
What is 4x - 1 = 11?,2,3,4,A
Solve for x: 5x - 25 = 0,4,5,6,B
Solve for x: 2x + 5 = 17,4,5,6,A
"If 3x - 3 = 0, what is x?",1,2,3,A
What is x/4 + 3 = 7?,8,10,12,A
Solve for x: 5 - x = 3,2,3,4,A
"If 2x = 10, what is x?",4,5,6,B
What is 3x + 2 = 11?,2,3,4,B
"If 10 - 3x = 1, what is x?",2,3,4,B
What is 4x + 12 = 28?,2,3,4,A
Solve for x: 7 - x = 3,1,2,3,C
What is 2(x + 3) = 14?,5,6,7,A
"If 3x + 3 = 9, what is x?",2,3,4,B
What is x^2 = 25?,5,-5,10,B
"If 3x + 6 = 12, what is x?",2,3,4,A
What is x^2 + 4 = 20?,4,5,6,B
Solve for x: 10 - x = 5,2,3,4,A
What is 4x + 8 = 40?,5,6,7,A
"If 2x + 8 = 20, what is x?",4,5,6,A
Solve for x: 8 - 4(x - 1) = 0,1,2,3,C
"If 9 + 2x = 15, what is x?",3,2,1,A
What is 2x - 8 = 0?,4,5,6,A
Solve for x: 3x + 6 = 0,-2,0,2,A
"If 5x + 5 = 0, what is x?",-1,0,1,A
What is x^2 - 1 = 0?,1,-1,0,B
Solve for x: 5 - 3x = 2,1,2,3,B
"If 4x + 4 = 16, what is x?",2,3,4,A
What is 4(x - 1) = 12?,3,4,5,A
Solve for x: x^2 + 1 = 2,1,-1,0,A
"If x/3 + 1 = 5, what is x?",12,15,18,A
What is 5x - 5 = 0?,1,2,3,B
Solve for x: 2(x + 3) = 14,5,6,7,A
"If 7 - 2x = 3, what is x?",2,3,4,A
