Question,Option A,Option B,Option C,Option D,Correct Answer
1. What is the derivative of f(x) = x^3 + 2x?,3x^2 + 2,3x^2 - 2,2x^2 + 2,3x^2 + 2,A
2. Find the integral of º(4x^2 - 3x) dx.,4x^3/3 - 3x^2/2 + C,4x^3/3 - 3x/2 + C,3x^2/2 - 4x + C,3x^2/2 - 4x + C,A
3. What is the second derivative of f(x) = e^(2x)?,e^(2x),2e^(2x),4e^(2x),4e^(2x),D
4. Find the critical points of f(x) = x^2 - 4x + 4.,x = 0,x = 2,x = -2,x = 4,B
5. The integral º__ (x^2 + 3x) dx evaluates to:,2,1,3-Jul,3-Jul,D
6. What is the derivative of f(x) = ln(x)?,1/x,x,ln(x),x^(-1),A
7. Evaluate lim___ (sin(x)/x).,1,0,°,-1,A
8. What is the value of º__ (1/x) dx?,ln(2),0,ln(1),ln(3),A
9. The derivative of f(x) = sin(x)cos(x) is:,cos^2(x) - sin^2(x),sin^2(x) - cos^2(x),2sin(x)cos(x),sin(2x),C
10. What is the limit of (e^x - 1)/x as x _ 0?,1,0,°,-1,A
11. What is the derivative of f(x) = tan(x)?,sec^2(x),sec(x),cos(x),csc^2(x),A
12. The integral º sin(x) dx is:,-cos(x) + C,cos(x) + C,sin(x) + C,-sin(x) + C,A
13. What is the derivative of f(x) = ln(x^2)?,2/x,1/x,2/x^2,1/(2x),A
14. Find the integral of º e^x dx.,e^x + C,e^(2x) + C,ln(x) + C,x e^x + C,A
15. The derivative of f(x) = arcsin(x) is:,1/Ã(1 - x^2),1/x,1/(1 - x^2),x/Ã(1 - x^2),A
16. What is the limit of (1 - cos(x))/x as x _ 0?,0,1,°,2-Jan,A
17. The derivative of f(x) = 1/x is:,-1/x^2,1/x^2,-1/x,1/x,A
18. What is the second derivative of f(x) = sin(x)?,cos(x),-sin(x),sin(x),-cos(x),B
19. Evaluate º__ sin(x) dx.,2,0,-2,1,A
20. What is the derivative of f(x) = Ãx?,1/(2Ãx),1/2x,x/2,1/x,A
21. What is the integral of º x dx?,x^2/2 + C,x^3/2 + C,x^2/3 + C,x^2 + C,A
22. What is the value of º__ x^2 dx?,3-Jan,2-Jan,4-Jan,6-Jan,A
23. The derivative of f(x) = x^2 ln(x) is:,2x ln(x) + x,2x ln(x) - x,2x ln(x) + x^2,2x ln(x) + 2x,A
24. What is the integral of º__ (2x + 1) dx?,2,3,1,2-May,D
25. The derivative of f(x) = x sin(x) is:,sin(x) + x cos(x),cos(x) + x sin(x),cos(x) - x sin(x),x cos(x),A
26. What is the integral of º cos(x) dx?,sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,A
27. What is the derivative of f(x) = ln(2x)?,1/x,2/x,1/(2x),1/x^2,A
28. The integral º_^° e^(-x) dx evaluates to:,1,°,0,-1,A
29. What is the second derivative of f(x) = ln(x)?,-1/x^2,1/x^2,-1/x,1/x^2,A
30. What is the integral of º__ e^x dx?,e - 1,e + 1,1,e,A
31. What is the integral of º cos(2x) dx?,1/2 sin(2x) + C,sin(2x) + C,-1/2 sin(2x) + C,-sin(2x) + C,A
32. What is the derivative of f(x) = e^(3x)?,3e^(3x),e^(3x),3e^(x),e^(x),A
33. The second derivative of f(x) = ln(x^3) is:,-3/x^2,3/x^2,3/x^3,-3/x^3,A
34. Find the integral of º (3x^2 + 2x) dx.,x^3 + x^2 + C,x^3 + x + C,x^3 + x^2/2 + C,x^3 + x^2 + C,A
35. The derivative of f(x) = sin(x^2) is:,2x cos(x^2),2x sin(x^2),2x cos(x),2x sin(x),A
36. What is the limit of (1/x) as x _ 0?,°,0,1,-°,A
37. What is the integral of º x^2 e^x dx?,x^2 e^x - 2x e^x + 2e^x + C,e^x(x^2 - 2x + 2) + C,x^2 e^x + C,x^3 e^x + C,B
38. The second derivative of f(x) = e^(-x^2) is:,2xe^(-x^2),-2xe^(-x^2),e^(-x^2),-2xe^(-x^2),B
39. The derivative of f(x) = e^(x) cos(x) is:,e^x cos(x) - e^x sin(x),e^x cos(x) + e^x sin(x),e^x sin(x) - e^x cos(x),e^x cos(x),A
40. What is the integral of º x^3 dx?,x^4/4 + C,x^5/4 + C,x^4/3 + C,x^3 + C,A
41. What is the derivative of f(x) = 1/(x^2)?,-2/x^3,-1/x^3,2/x^3,2/x^2,A
42. What is the integral of º (x^2 + 1) dx?,x^3/3 + x + C,x^3/3 + x^2 + C,x^2/2 + x + C,x^3/3 + x^2 + C,A
43. The derivative of f(x) = tan^2(x) is:,2tan(x) sec^2(x),2tan(x) sec(x),2tan(x) sec(x)^2,2sec(x)^2,A
44. What is the integral of º sec^2(x) dx?,tan(x) + C,sec(x) + C,-tan(x) + C,-sec(x) + C,A
45. What is the second derivative of f(x) = ln(x^2 + 1)?,-2x/(x^2 + 1)^2,2x/(x^2 + 1)^2,2x/(x^2 + 1),-2x/(x^2 + 1),A
46. The derivative of f(x) = x^3 - 3x^2 + x is:,3x^2 - 6x + 1,3x^2 - 6x + 3,2x^2 - 3x + 1,3x^2 - 2x + 1,A
47. The limit of (x^2 - 1)/(x - 1) as x _ 1 is:,1,2,0,°,B
48. The derivative of f(x) = cos(3x) is:,-3sin(3x),-3cos(3x),3sin(3x),3cos(3x),A
49. What is the integral of º x e^x dx?,x e^x - e^x + C,x e^x + C,x^2 e^x + C,x^2 e^x - e^x + C,A
50. What is the derivative of f(x) = 3x^4?,12x^3,12x^2,3x^3,3x^2,A
51. What is the derivative of f(x) = x^4 - 2x^2?,4x^3 - 4x,4x^3 + 4x,3x^2 - 4x,4x^3 - 2x,A
52. Find the integral of º(6x^3 - 2x) dx.,3x^4 - x^2 + C,3x^4 - x + C,3x^4 - x^3 + C,2x^4 - x^2 + C,A
53. What is the second derivative of f(x) = cos(x)?,-cos(x),-sin(x),sin(x),-cos(x),B
54. The limit lim___ (e^x - 1)/x evaluates to:,1,0,°,-1,A
55. What is the derivative of f(x) = x_sin(x)?,2xsin(x) + x_cos(x),2xcos(x) + x_sin(x),x_cos(x),2xsin(x),A
56. Find the integral of º e^(3x) dx.,e^(3x)/3 + C,e^(x^3) + C,3e^(3x) + C,e^(3x) + C,A
57. What is the derivative of f(x) = ln(x_)?,2/x,1/x,2/x_,1/(2x),A
58. Evaluate lim__° (1/x).,1,0,°,-1,B
59. The second derivative of f(x) = x^3 is:,6x,3x_,3x,6x_,A
60. What is the integral of º 1/x dx?,ln(x) + C,1/x + C,x + C,x_ + C,A
61. The derivative of f(x) = e^x cos(x) is:,e^xcos(x) - e^xsin(x),e^xcos(x) + e^xsin(x),e^xsin(x) - e^xcos(x),e^xcos(x),A
