Question,Option A,Option B,Option C,Option D,Correct Answer
What is the sum of the interior angles of a triangle?,180º,90º,270º,360º,A
How many sides does a regular hexagon have?,4,6,8,10,B
What is the area of a square with side length 5 units?,10 square units,15 square units,20 square units,25 square units,D
What is the perimeter of a rectangle with length 8 units and width 3 units?,22 units,24 units,26 units,28 units,A
Find the area of a circle with radius 7 units.,49π square units,21π square units,14π square units,7π square units,A
What is the formula for the area of a triangle?,1/2 * base * height,base * height,side²,side * height,A
How many degrees are in a right angle?,90º,60º,120º,180º,A
What is the circumference of a circle with diameter 10 units?,5π units,10π units,20π units,15π units,B
What is the volume of a cube with side length 4 units?,16 cubic units,64 cubic units,12 cubic units,32 cubic units,B
"If two sides of a right triangle are 3 units and 4 units, what is the length of the hypotenuse?",4 units,5 units,6 units,7 units,B
What is the area of a parallelogram with base 6 units and height 4 units?,10 square units,24 square units,30 square units,12 square units,D
How do you calculate the perimeter of a triangle?,Add up the sides,Multiply the sides,Add up the angles,Multiply the angles,A
"What is the difference between an acute, right, and obtuse triangle?",They differ in the number of sides,They differ in their interior angles,They differ in the number of vertices,They are all the same shape,B
How many faces does a rectangular prism have?,4,6,8,10,C
"What is the area of a trapezoid with bases 5 and 8 units, and height 4 units?",26 square units,20 square units,26 square units,26 square units,B
"If the radius of a circle is doubled, how does the area change?",It doubles,It quadruples,It increases by a factor of 8,It halves,B
What is the area of a circle with diameter 12 units?,36π square units,144π square units,24π square units,72π square units,A
How do you calculate the surface area of a sphere?,4πr²,πr²,2πr²,πr³,A
What is the formula for the volume of a cylinder?,πr²h,2πr²h,πrh,πr³h,A
What is the sum of the interior angles of a quadrilateral?,360º,180º,270º,270º,A
What is the area of a rectangle with length 10 units and width 5 units?,25 square units,50 square units,60 square units,100 square units,B
What is the perimeter of a square with side length 7 units?,14 units,28 units,21 units,49 units,B
"What is the volume of a rectangular prism with length 2, width 3, and height 4?",24 cubic units,12 cubic units,6 cubic units,8 cubic units,B
What is the area of a circle with radius 10 units?,100π square units,50π square units,25π square units,10π square units,A
How many degrees are in the sum of the interior angles of a pentagon?,360º,540º,720º,1080º,B
What is the length of the diagonal of a square with side length 6 units?,6√2 units,12 units,6 units,18 units,A
"What is the perimeter of a triangle with sides 3 units, 4 units, and 5 units?",12 units,14 units,15 units,16 units,C
What is the area of a right triangle with base 8 units and height 6 units?,24 square units,48 square units,14 square units,30 square units,A
How many faces does a cube have?,4,6,8,10,B
What is the volume of a cone with radius 3 units and height 4 units?,9π cubic units,12π cubic units,36π cubic units,4π cubic units,B
What is the sum of the interior angles of a hexagon?,720º,1080º,1440º,360º,A
How many diagonals are in a hexagon?,9,10,12,15,A
What is the formula for the surface area of a cylinder?,2πr² + 2πrh,πr²h,2πrh + πr²,3πr²,A
What is the length of the diagonal of a rectangle with length 6 units and width 8 units?,8 units,10 units,12 units,14 units,B
What is the area of a rhombus with diagonals of 6 and 8 units?,24 square units,48 square units,28 square units,36 square units,A
What is the perimeter of a regular octagon with side length 3 units?,18 units,24 units,27 units,30 units,B
What is the area of a regular pentagon with side length 4 units?,10 square units,12 square units,16 square units,20 square units,B
What is the volume of a cylinder with radius 3 units and height 10 units?,90π cubic units,30π cubic units,60π cubic units,45π cubic units,A
What is the formula for the area of a trapezoid?,1/2 * (b1 + b2) * h,b * h,b1 * b2,(b1 + b2) * h,A
How many edges does a cube have?,6,8,12,16,C
What is the surface area of a sphere with radius 5 units?,25π square units,100π square units,50π square units,125π square units,B
What is the area of a triangle with base 10 units and height 5 units?,25 square units,50 square units,60 square units,100 square units,A
What is the volume of a sphere with radius 2 units?,16π cubic units,8π cubic units,4π cubic units,32π cubic units,B
How many sides does a regular polygon with 20 sides have?,20,21,19,18,A
What is the area of a sector with central angle of 45º and radius 4 units?,8π square units,4π square units,2π square units,π square units,C
What is the perimeter of a right triangle with legs 6 units and 8 units?,12 units,14 units,15 units,16 units,C
What is the volume of a pyramid with square base of side length 5 units and height 12 units?,150 cubic units,75 cubic units,25 cubic units,50 cubic units,B
What is the surface area of a cone with radius 3 units and slant height 5 units?,30π square units,15π square units,10π square units,20π square units,B
What is the length of the hypotenuse of a right triangle with legs 5 units and 12 units?,13 units,15 units,10 units,7 units,A
What is the volume of a rectangular prism with dimensions 3 units by 4 units by 5 units?,60 cubic units,50 cubic units,40 cubic units,20 cubic units,A
What is the sum of the exterior angles of any polygon?,180º,360º,270º,90º,B
What is the area of a parallelogram with base 9 units and height 6 units?,18 square units,30 square units,54 square units,36 square units,A
What is the perimeter of a regular hexagon with side length 5 units?,20 units,25 units,30 units,35 units,A
What is the surface area of a sphere with radius 3 units?,18π square units,36π square units,9π square units,72π square units,B
What is the area of an equilateral triangle with side length 6 units?,18 square units,12√3 square units,9 square units,24 square units,B
What is the length of the diagonal of a rectangle with length 9 units and width 12 units?,15 units,18 units,14 units,16 units,A
How many vertices does a tetrahedron have?,4,5,6,7,A
What is the area of a sector with central angle 90º and radius 7 units?,49π square units,24.5π square units,12.25π square units,35π square units,C
What is the perimeter of an isosceles triangle with base 8 units and two equal sides of 6 units?,16 units,20 units,18 units,22 units,B
What is the volume of a cone with radius 4 units and height 6 units?,32π cubic units,48π cubic units,24π cubic units,36π cubic units,C
What is the area of a hexagon with side length 3 units?,27√3 square units,18√3 square units,9√3 square units,6√3 square units,A
How many faces does a pyramid with a square base have?,4,5,6,8,B
What is the volume of a cube with side length 5 units?,125 cubic units,25 cubic units,50 cubic units,75 cubic units,A
"What is the surface area of a rectangular prism with length 3 units, width 4 units, and height 5 units?",94 square units,62 square units,74 square units,54 square units,C
What is the area of a regular octagon with side length 2 units?,4 square units,8 square units,16 square units,32 square units,B
What is the perimeter of a rhombus with side length 6 units?,18 units,24 units,12 units,36 units,B
What is the volume of a pyramid with base area 16 square units and height 5 units?,20 cubic units,40 cubic units,50 cubic units,80 cubic units,B
What is the sum of the interior angles of a heptagon?,1080º,1260º,1440º,1800º,B
What is the area of a parallelogram with diagonals 6 and 8 units?,30 square units,48 square units,24 square units,60 square units,B
What is the area of a rectangle with diagonal 13 units and width 5 units?,60 square units,75 square units,84 square units,100 square units,C
"What is the perimeter of a triangle with sides 7 units, 24 units, and 25 units?",50 units,56 units,60 units,52 units,A
What is the area of an ellipse with semi-major axis 8 units and semi-minor axis 5 units?,40π square units,32π square units,20π square units,24π square units,A
How many edges does a rectangular prism have?,8,10,12,14,C
What is the surface area of a cylinder with radius 4 units and height 6 units?,80π square units,56π square units,72π square units,60π square units,A
What is the area of a sector with radius 3 units and central angle 60º?,3π square units,4.5π square units,9π square units,1.5π square units,D
What is the volume of a cylinder with radius 5 units and height 7 units?,75π cubic units,100π cubic units,125π cubic units,150π cubic units,A
"What is the perimeter of a triangle with sides 5 units, 12 units, and 13 units?",28 units,25 units,24 units,30 units,A
What is the sum of the interior angles of a hexagon?,720º,1080º,1440º,360º,A
How many diagonals are in a hexagon?,9,10,12,15,A
What is the formula for the surface area of a cylinder?,2πr² + 2πrh,πr²h,2πrh + πr²,3πr²,A
What is the length of the diagonal of a rectangle with length 6 units and width 8 units?,8 units,10 units,12 units,14 units,B
What is the area of a rhombus with diagonals of 6 and 8 units?,24 square units,48 square units,28 square units,36 square units,A
What is the perimeter of a regular octagon with side length 3 units?,18 units,24 units,27 units,30 units,B
What is the area of a regular pentagon with side length 4 units?,10 square units,12 square units,16 square units,20 square units,B
What is the volume of a cylinder with radius 3 units and height 10 units?,90π cubic units,30π cubic units,60π cubic units,45π cubic units,A
What is the formula for the area of a parallelogram??,Base×Height,1/2×Base×Height,Side×Side,Base²,A
How many edges does a cube have?,6,8,12,16,C
What is the surface area of a sphere with radius 5 units?,25π square units,100π square units,50π square units,125π square units,B
What is the area of a triangle with base 10 units and height 5 units?,25 square units,50 square units,60 square units,100 square units,A
What is the volume of a sphere with radius 2 units?,16π cubic units,8π cubic units,4π cubic units,32π cubic units,B
How many sides does a regular polygon with 20 sides have?,20,21,19,18,A
What is the area of a sector with central angle of 45º and radius 4 units?,8π square units,4π square units,2π square units,π square units,C
What is the perimeter of a right triangle with legs 6 units and 8 units?,12 units,14 units,15 units,16 units,C
What is the volume of a pyramid with square base of side length 5 units and height 12 units?,150 cubic units,75 cubic units,25 cubic units,50 cubic units,B
What is the surface area of a cone with radius 3 units and slant height 5 units?,30π square units,15π square units,10π square units,20π square units,B
What is the length of the hypotenuse of a right triangle with legs 5 units and 12 units?,13 units,15 units,10 units,7 units,A
What is the volume of a rectangular prism with dimensions 3 units by 4 units by 5 units?,60 cubic units,50 cubic units,40 cubic units,20 cubic units,A
What is the sum of the exterior angles of any polygon?,180º,360º,270º,90º,B
What is the area of a parallelogram with base 9 units and height 6 units?,18 square units,30 square units,54 square units,36 square units,A
What is the perimeter of a regular hexagon with side length 5 units?,20 units,25 units,30 units,35 units,A
